title|author|avg_rating|my_rating|date_finished|cover|num_title
Nineteen Ways of Looking at Consciousness|Patrick House|3.62|3|2022-12-02|cover|59808264-nineteen-ways-of-looking-at-consciousness
This is Going to Hurt: Secret Diaries of a Junior Doctor|Adam Kay|4.41|2|2022-11-09|cover|35510008-this-is-going-to-hurt
The Last House on Needless Street|Catriona Ward|3.87|3|2022-11-02|cover|54621094-the-last-house-on-needless-street
Astra|Cedar Bowers|4.25|3|2022-09-17|cover|55644674-astra
Bowling Alone: The Collapse and Revival of American Community|Robert D. Putnam|3.83|5|2022-09-08|cover|478.Bowling_Alone
The Beach|Alex Garland|3.96|4|2022-08-16|cover|10831933-the-beach
Little Soldiers: An American Boy, a Chinese School, and the Global Race to Achieve|Lenora Chu|4.15|5|2022-08-02|cover|33640229-little-soldiers
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics|Daniel James Brown|4.37|3|2022-06-30|cover|16158542-the-boys-in-the-boat
The Guest List|Lucy Foley|3.85|3|2022-05-19|cover|51933429-the-guest-list
The Immortal Life of Henrietta Lacks|Rebecca Skloot|4.10|4|2022-04-20|cover|6493208-the-immortal-life-of-henrietta-lacks
How the Penguins Saved Veronica|Hazel Prior|4.11|3|2022-04-07|cover|48692560-how-the-penguins-saved-veronica
Caliban's War  (The Expanse, #2)|James S.A. Corey|4.37|3|2022-03-31|cover|
The Social Contract|Jean-Jacques Rousseau|3.78|3|2022-03-06|cover|12651.The_Social_Contract
Scarborough|Catherine Hernandez|4.28|2|2022-02-28|cover|31945128-scarborough
Five Little Indians|Michelle Good|4.50|3|2022-02-22|cover|52214103-five-little-indians
What Strange Paradise|Omar El Akkad|4.09|3|2022-02-03|cover|53773242-what-strange-paradise
The Way of Zen|Alan W. Watts|4.16|2|2022-01-04|cover|514210.The_Way_of_Zen
Altered Carbon  (Takeshi Kovacs, #1)|Richard K. Morgan|4.04|3|2020-12-29|cover|
